
Song:
	samples = 2838528
	channels = 2
	totalsamples = 5677056
	samples per point = 3032
	meterScale = 200
	tolerance = 1
	quantize bpm = 243 thru 480

Points:1873

	idx       time                val                 startsample         endsample           delta               actualbpm           bpm                 
	--------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- 
	132            5.5                 0.1            400224              403255                                                                          
	133            5.6                 2.8            403256              406287                                                                          
	134            5.6                 2.9            406288              409319                                                                          
	135            5.6                 0.2            409320              412351                                                                          
	136            5.7                 2.6            412352              415383                                                                          
	137            5.7                 21.0           415384              418415                                                                          
	138            5.7                 1.5            418416              421447                                                                          
	139            5.8                 1.3            421448              424479                                                                          
	140            5.8                 2.1            424480              427511                                                                          
	141            5.8                 1.9            427512              430543                                                                          
	142            5.9                 2.7            430544              433575                                                                          
	143            5.9                 3.5            433576              436607                                                                          
	144            51.0                0.1            436608              439639                                                                          
	145            51.0                0.2            439640              442671                                                                          
	146            5.0                 0.1            442672              445703                                                                          
	147            5.1                 0.2            445704              448735                                                                          
	148            5.1                 0.0            448736              451767                                                                          
	149            5.1                 0.3            451768              454799                                                                          
	150            5.2                 0.0            454800              457831                                                                          
	151            5.2                 0.1            457832              460863                                                                          
	152            5.2                 0.1            460864              463895                                                                          
	153            5.3                 0.1            463896              466927                                                                          
	154            5.3                 0.1            466928              469959                                                                          
	155            5.3                 0.0            469960              472991                                                                          
	156            5.4                 0.2            472992              476023                                                                          
	157            5.4                 0.1            476024              479055                                                                          
	158            5.4                 0.1            479056              482087                                                                          
	159            5.5                 0.1            482088              485119                                                                          
	160            6.5                 0.0            485120              488151                                                                          
	161            6.5                 0.0            488152              491183                                                                          
	162            6.6                 0.1            491184              494215                                                                          
	163            6.6                 0.1            494216              497247                                                                          
	164            6.6                 0.2            497248              500279                                                                          
	165            6.7                 0.2            500280              503311                                                                          
	166            6.7                 0.1            503312              506343                                                                          
	167            6.7                 0.0            506344              509375                                                                          
	168            6.8                 0.0            509376              512407                                                                          
	169            6.8                 0.2            512408              515439                                                                          
	170            6.8                 0.1            515440              518471                                                                          
	171            6.9                 0.0            518472              521503                                                                          
	172            6.9                 0.0            521504              524535                                                                          
	173            6.9                 0.0            524536              527567                                                                          
	174            61.0                0.1            527568              530599                                                                          
